sample, p__Spirochaetota, p__WPS-2, p__Methylomirabilota, p__Deinococcota, p__Cyanobacteria, p__Thermoplasmatota, p__Nitrospinota, p__Bdellovibrionota, p__Fusobacteriota, p__Proteobacteria, p__Acidobacteriota,Unassigned_unassigned, p__Euryarchaeota, p__Synergistota, p__Verrucomicrobiota, p__Firmicutes, p__Chloroflexi, p__Patescibacteria, p__WOR-1,d__Archaea_unassigned, p__Armatimonadota, p__Bacteroidota, p__Elusimicrobiota, p__Sumerlaeota, p__Myxococcota, p__Aenigmarchaeota,d__Eukaryota_unassigned, p__Actinobacteriota, p__Asgardarchaeota, p__Thermotogota, p__SAR324_clade(Marine_group_B), p__Nitrospirota, p__Abditibacteriota, p__Dadabacteria, p__Desulfobacterota, p__Campilobacterota, p__Dependentiae, p__Halobacterota, p__Deferribacterota, p__WS2,d__Bacteria_unassigned, p__Fibrobacterota, p__Planctomycetota, p__Gemmatimonadota
ba020.641000084.3m.bal.rep1,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba020.641000084.3m.bal.rep2,0,0,0,0,0,0,0,0,0,15030,0,0,0,0,0,2864,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
ba020.641000084.3m.bal.rep3,0,0,0,0,0,0,0,0,0,12844,0,0,0,0,0,3254,0,0,0,0,0,6,0,0,0,0,0,2134,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
ba021.641000084.pw.prewash.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba021.641000084.pw.prewash.rep2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba021.641000084.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,37,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba022.641000084.3m.bal.rep1,0,0,0,0,0,0,0,0,0,18919,0,0,0,0,0,5387,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba022.641000084.3m.bal.rep2,0,0,0,0,0,0,0,0,0,11106,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba022.641000084.3m.bal.rep3,0,0,0,0,0,0,0,0,0,18114,0,0,0,0,0,3627,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba024.641000084.6m.bal.rep1,0,0,0,0,0,0,0,0,14,490,0,0,0,0,0,23400,0,0,0,0,0,1219,0,0,0,0,0,50,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
ba024.641000084.6m.bal.rep2,0,0,0,0,0,0,0,0,27,476,0,0,0,0,0,20092,0,0,0,0,0,1471,0,0,0,0,0,56,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
ba024.641000084.6m.bal.rep3,0,0,0,0,11,0,0,0,3,349,0,0,0,0,0,9319,0,0,0,0,0,688,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
ba026.641000817.6w.bal.rep1,21,0,0,0,13,0,0,0,86,3663,0,0,0,0,0,3465,0,5,0,0,0,1400,0,0,0,0,0,236,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
ba026.641000817.6w.bal.rep2,19,0,0,0,8,0,0,0,88,3897,0,0,0,0,0,3333,0,0,0,0,0,1387,0,0,0,0,0,162,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
ba026.641000817.6w.bal.rep3,5,0,0,0,0,0,0,0,20,2556,0,0,0,4,0,1226,0,0,0,0,0,569,0,0,0,0,0,88,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ba027.641000817.pw.prewash.rep2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba027.641000817.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba028.641000817.3m.bal.rep1,0,0,0,0,0,0,0,0,20,3192,0,0,0,0,0,1273,0,0,0,0,0,96,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba028.641000817.3m.bal.rep2,0,0,0,0,0,0,0,18,248,8149,0,0,0,0,0,9469,0,0,0,0,0,204,0,0,0,0,0,494,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
ba028.641000817.3m.bal.rep3,0,0,0,0,0,0,0,0,65,4081,0,0,0,0,0,2426,0,0,0,0,0,175,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba030.641000817.6m.bal.rep1,0,0,0,0,0,0,0,0,85,270,0,0,0,0,0,6043,0,2,0,0,0,402,0,0,0,0,0,727,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0
ba030.641000817.6m.bal.rep2,0,0,0,0,0,0,0,0,301,811,0,0,0,0,0,19362,0,13,0,0,0,2045,0,0,0,0,0,3188,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0
ba030.641000817.6m.bal.rep3,0,0,0,0,0,0,0,0,38,196,0,0,0,0,0,6597,0,0,0,0,0,221,0,0,0,0,0,744,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0
ba032.641000806.3m.bal.rep2,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba032.641000806.3m.bal.rep3,0,0,0,0,0,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba033.641000806.pw.prewash.rep1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba033.641000806.pw.prewash.rep2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba033.641000806.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba034.641000806.6m.bal.rep1,0,0,0,0,10,0,0,0,0,70,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba034.641000806.6m.bal.rep2,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba034.641000806.6m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba036.641000806.6m.bal.rep1,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba036.641000806.6m.bal.rep2,0,0,0,0,18,0,0,0,0,2423,11,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba036.641000806.6m.bal.rep3,0,0,0,0,0,0,0,0,0,2171,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba038.641000802.6w.bal.rep1,0,0,0,0,0,0,0,0,0,23688,0,0,0,0,0,46,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba038.641000802.6w.bal.rep2,0,0,0,0,15,0,0,0,0,32478,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba038.641000802.6w.bal.rep3,0,0,0,0,0,0,0,0,0,30934,0,0,0,0,0,131,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba039.641000802.pw.prewash.rep1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba039.641000802.pw.prewash.rep2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba039.641000802.pw.prewash.rep3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba040.641000802.3m.bal.rep1,0,0,0,0,9,0,0,0,0,6830,0,0,0,0,0,1288,0,0,0,0,0,650,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba040.641000802.3m.bal.rep2,0,0,0,0,7,0,0,0,0,8446,0,0,0,0,0,2159,0,0,0,0,0,1100,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba040.641000802.3m.bal.rep3,0,0,0,0,9,0,0,0,3,8928,0,0,0,0,0,1937,0,0,0,0,0,931,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba042.641000802.6m.bal.rep1,0,0,0,0,0,0,0,0,244,62,0,0,0,0,0,10239,0,0,0,0,0,2878,0,0,0,0,0,2534,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0
ba042.641000802.6m.bal.rep2,0,0,0,0,6,0,0,0,109,32,0,0,0,0,0,6400,0,0,0,0,0,1576,0,0,0,0,0,1476,0,0,0,0,0,0,2,434,0,0,0,0,0,0,0,0
ba042.641000802.6m.bal.rep3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba044.641000785.6w.bal.rep1,0,0,0,0,0,0,0,0,928,1928,0,0,0,0,0,9897,0,94,0,0,0,7355,0,0,0,0,0,5514,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
ba044.641000785.6w.bal.rep2,0,0,0,0,0,0,0,0,274,739,0,0,0,0,0,3247,0,0,0,0,0,2968,0,0,0,0,0,2313,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
ba044.641000785.6w.bal.rep3,0,0,0,0,3,0,0,0,1042,1512,0,0,0,0,0,9431,0,22,0,0,0,7449,0,0,0,0,0,5188,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
